Course,KSA,KSA Description,Category,Objective
SEC335,77,"Knowledege of current industry methods for evaluating, implementing, and disseminating information technology (IT) security assessment, monitoring, detection, and remediation tools and procedures, utilizing standards-based concepts and capabilities",Information Systems/Network Security,Choose the appropriate methodology and tools to assess the security of a network and host systems; Describe the process for maintaining secure software and Internet server systems; Develop plans for incident response to cyberthreats and attacks
SEC335,25,"Knowledge of critical protocols (e.g., IPSEC, AES, GRE, IKE, MD5, SHA, 3DES).",Cryptography,"Describe and discuss cryptography used in systems software, and web applications and select the appropriate method for a system"
SEC335,27,Knowledge of cryptology,Cryptography,"Describe and discuss cryptography used in systems software, and web applications and select the appropriate method for a system"
SEC335,284,"Knowledge of encryption algorithms and tools for WLANs (e.g., SSL, PGP)",Cryptography,"Describe and discuss cryptography used in systems software, and web applications and select the appropriate method for a system"
SEC335,1114,Knowledge of encryption methodologies,Cryptography,"Describe and discuss cryptography used in systems software, and web applications and select the appropriate method for a system"
SEC335,148,Knowledge of VPN security.,Encryption,"Describe and discuss cryptography used in systems software, and web applications and select the appropriate method for a system."
SEC335,111,"Knowledge of security system design tools, methods, and techniques",Information Systems/Network Security,Describe the process for maintaining secure software and Internet server systems
SEC335,205,"Skill in implementing, maintaining, and improving established security practices",Information Systems/Network Security,Describe the process for maintaining secure software and Internet server systems
SEC335,313,Knowledge of logging services for network devices,Information Systems/Network Security,Describe the process for maintaining secure software and Internet server systems
SEC335,923,Knowledge of security event correlation tools,Information Systems/Network Security,Describe the process for maintaining secure software and Internet server systems
SEC335,1011,Knowledge of processes for reporting network security related incidents,Security,Describe the process for maintaining secure software and Internet server systems
SEC335,183,"Skill in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes",Information Assurance,"Describe the process for maintaining secure software and Internet server systems; Document the impact and management of secure software and server systems, and the impact on the organization, for both professional peers and managers"
SEC335,326,"Knowledge of security hardware and software options, including the network artifacts they induce and their effects on exploitation",Information Systems/Network Security,Describe ways to incorporate security into the design of software systems and Web server and e-commerce applications
SEC335,327,Knowledge of security implications of software configurations,Information Assurance,Describe ways to incorporate security into the design of software systems and Web server and e-commerce applications
SEC335,1071,"Knowledge of secure software deployment methodologies, tools, and practices",Software Engineering,Describe ways to incorporate security into the design of software systems and Web server and e-commerce applications
SEC335,61,Knowledge of incident response and handling methodologies,Incident Management,Develop plans for incident response to cyberthreats and attacks
SEC335,229,Skill in using incident handling methodologies,Incident Management,Develop plans for incident response to cyberthreats and attacks
SEC335,918,"Ability to prepare and deliver education and awareness briefings to ensure that systems, network, and data users are aware of and adhere to systems security policies and procedures",Teaching Others,increasing security awareness in organizations
SEC335,17,Knowledge of certified ethical hacking principles and techniques,Vulnerabilities Assessment,"Scenarios will provide opportunities to discuss security, ethics, and incident response"
SEC335,123,Knowledge of system and application security threats and vulnerabilities ,Vulnerabilities Assessment,"Students will learn about  information security flaws in software systems, vulnerabilities inherent in common network services"
SEC335,3,Skill in conducting vulnerability scans and recognizing vulnerabilities in security systems,Vulnerabilities Assessment,Students will learn the methodologies and tools used to probe networks for vulnerabilities and propose solutions. 
SEC335,95,"Knowledge of penetration testing principles, tools, and techniques (e.g., metasploit, neosploit)",Vulnerabilities Assessment,Students will learn the methodologies and tools used to probe networks for vulnerabilities and propose solutions.  
SEC335,225,Skill in the use of penetration testing tools and techniques,Vulnerabilities Assessment,Students will learn the methodologies and tools used to probe networks for vulnerabilities and propose solutions.  
SEC335,352,"Skill in applying white hack hacking/security auditing techniques, procedures and tools",Vulnerabilities Assessment,Students will learn the methodologies and tools used to probe networks for vulnerabilities and propose solutions.  
SEC335,1066,"Skill in utlilizing exploitation tools (e.g., Foundstone, fuzzers, packet sniffers, debug) to identify system/software vulnerabilities (penetration and testing)",Vulnerabilities Assessment,Students will learn the methodologies and tools used to probe networks for vulnerabilities and propose solutions.  
SEC335,1067,Skill in utlilizing network analysis tools to identify software communications vulnerabilities,Vulnerabilities Assessment,Students will learn the methodologies and tools used to probe networks for vulnerabilities and propose solutions.  
SEC 350,70,"Knowledge of information technology (IT) security principles and methods (e.g., firewalls, demilitarized zones, encryption)",Information Systems/Network Security,Construct and maintain firewalls in a business environment
SEC 350,891,"Skill in configuring and utilizing hardware-based computer protection components (e.g., hardware firewalls, servers, routers)",Configuration Management,Construct and maintain firewalls in a business environment
SEC 350,892,"Skill in configuring and utilizing software-based computer protection tools (e.g., software firewalls, anti-virus software, anti-spyware)",Configuration Management,Construct and maintain firewalls in a business environment
SEC 350,985,"Skill in configuring and utilizing network protection components (e.g., firewalls, Virtual Private Networks [VPNs], network Intrusion Detection Systems [IDSs])",Configuration Management,"Construct and maintain firewalls in a business environment | Describe and implement packet filtering, proxy servers, authentication and VPN?s"
SEC 350,8,Knowledge of access authentication methods,Identity Management,"Describe and implement packet filtering, proxy servers, authentication and VPN?s"
SEC 350,148,Knowledge of VPN security.,Encryption,"Describe and implement packet filtering, proxy servers, authentication and VPN?s"
SEC 350,237,Skill in using Virtual Private Network (VPN) devices and encryption,Encryption,"Describe and implement packet filtering, proxy servers, authentication and VPN?s"
SEC 350,60,"Knowledge of incident categories, incident responses, and timelines for responses",Incident Management,Develop an Incident Response plan for an enterprise network
SEC 350,61,Knowledge of incident response and handling methodologies,Incident Management,Develop an Incident Response plan for an enterprise network
SEC 350,966,"Knowledge of enterprise incident response program, roles, and responsibilities",Incident Management,Develop an Incident Response plan for an enterprise network
SEC 350,173,Skill in creating policies that relfect system security objectives,Information Systems Security Certification,Develop and analyze enterprise security policies as they apply to users and devices
SEC 350,986,"Knowledge of organizational information technology (IT) user security policies (e..g, account creation, password rules, access control)",Identity Management,Develop and analyze enterprise security policies as they apply to users and devices
SEC 350,327,Knowledge of security implications of software configurations,Information Assurance,Plan and design security configurations capable of withstanding various levels of attack.
SEC345,126,"Knowledge of system software and organizaional design standards, policies, and authorized approaches (e.g., International Organization for Standardization [ISO] guidelines) relating to system design",Requirements Analysis,Describe government and military requirements for security at various levels
SEC345,1005,"Knowledge of functionality, quality, and security requirements and how these will apply to specific items of supply (i.e., elements and processes)",Contracting/Procurement,Describe government and military requirements for security at various levels
SEC345,1012,Knowledge of Capabilities and Maturity Model Integration (CMMI) at all five levels,Internal Controls,Describe government and military requirements for security at various levels
SEC345,1034,Knowledge of Personally Identifiable Information (PII) and Payment Card Industry (PCI) data security standards,Security,Describe government and military requirements for security at various levels
SEC345,63,"Knowledge of Information Assurance principles and tenets (confidentiality, integrity, availability, authentication, non-repudiation).",Information Assurance,"Describe the issues of global IT security from a technical, social, ethical, geographic perspective"
SEC345,917,Knowledge of social dynamics of computer attackers in a global context,External Awareness,"Describe the issues of global IT security from a technical, social, ethical, geographic perspective"
SEC345,952,"Knowledge of emerging security issues, risks, and vulnerabilities",Technology Awareness,"Describe the issues of global IT security from a technical, social, ethical, geographic perspective"
SEC345,38,Knowledge of organization's enterprise information security architecture system,Information Assurance,Develop a comprehensive enterprise security program based on industry standards
SEC345,46,Knowledge of fault tolerance,Information Assurance,Develop a comprehensive enterprise security program based on industry standards
SEC345,55,"Knowledge of Information assurance (IA) principles used to manage risks related to the use, processing, storage, and transmission of information or data",Information Assurance,Develop a comprehensive enterprise security program based on industry standards
SEC345,62,Knowledge of industry-standard and organizationally accepted analysis principles and methods,Logical Systems Design,Develop a comprehensive enterprise security program based on industry standards
SEC345,77,"Knowledege of current industry methods for evaluating, implementing, and disseminating information technology (IT) security assessment, monitoring, detection, and remediation tools and procedures, utilizing standards-based concepts and capabilities",Information Systems/Network Security,Develop a comprehensive enterprise security program based on industry standards
SEC345,141,Knowledge of the enterprise information technology (IT) architecture,Information Technology Architecture,Develop a comprehensive enterprise security program based on industry standards
SEC345,156,"Skill in applying confidentiality, integrity, and availability principles",Information Assurance,Develop a comprehensive enterprise security program based on industry standards
SEC345,179,Skill in designing security controls based on information assurance (IA) principles and tenets,Information Assurance,Develop a comprehensive enterprise security program based on industry standards
SEC345,183,"Skill in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes",Information Assurance,Develop a comprehensive enterprise security program based on industry standards
SEC345,296,"Knowledge of how information needs and collection requirements are translated, tracked, and prioritized across the extended enterprise",External Awareness,Develop a comprehensive enterprise security program based on industry standards
SEC345,299,Knowledge of information security program management and project management principles and techniques,Project Management,Develop a comprehensive enterprise security program based on industry standards
SEC345,893,Skill in securing network communications,Information Assurance,Develop a comprehensive enterprise security program based on industry standards
SEC250,1033,"Knowledge of basic system administration, network, and operating system hardening techniques",Information Systems/Network Security,1. Understand the basics of hardening servers and hosts
SEC250,150,Knowledge of what constitutes a network attack and the relationship to both threats and vulnerabilities,Information Systems/Network Security,"2, Understand common attack patterns, Maybe : 3. Evaluate vulnerability of an information system and establish a plan for risk management"
SEC250,895,Skill in recognizing and categorizing types of vulnerabilities and associated attacks,Information Assurance,2. Understand common attack patterns
SEC250,917,Knowledge of social dynamics of computer attackers in a global context,External Awareness,2. Understand common attack patterns
SEC250,990,Knowledge of common attack vectors on the network layer,Computer Network Defense,2. Understand common attack patterns
SEC250,991,"Knowledge of different classes of attacks (e.g., passive, active, insider, close-in, distribution)",Computer Network Defense,2. Understand common attack patterns
SEC250,1069,"Knowledge of general attack stages (e.g., footprinting and scanning, enumeration, gaining access, escalation of privileges, maintaining access, network exploitation, covering tracks)",Computer Network Defense,2. Understand common attack patterns
SEC250,1066,"Skill in utlilizing exploitation tools (e.g., Foundstone, fuzzers, packet sniffers, debug) to identify system/software vulnerabilities (penetration and testing)",Vulnerabilities Assessment,3 maybe
SEC250,3,Skill in conducting vulnerability scans and recognizing vulnerabilities in security systems,Vulnerabilities Assessment,3. Evaluate vulnerability of an information system and establish a plan for risk management
SEC250,58,"Knowledge of known vulnerabilities from alerts, advisories, errata, and bulletins ",Information Systems/Network Security,3. Evaluate vulnerability of an information system and establish a plan for risk management
SEC250,108,"Knowledge of risk management processes, including steps and methods for assessing risk",Risk Management,3. Evaluate vulnerability of an information system and establish a plan for risk management
SEC250,117,"Knowledge of software design tools, methods, and techniques",Software Development,3. Evaluate vulnerability of an information system and establish a plan for risk management
SEC250,214,"Skill in performing packet-level analysis using appropriate tools (e.g., Wireshark, tcpdump)",Vulnerabilities Assessment,3. Evaluate vulnerability of an information system and establish a plan for risk management
SEC250,278,"Knowledge of different types of network communication (e.g., Local Area Network [LAN], Wide Area Network [WAN], Metropolitan Area Network [MAN], Wireless Local Area Networm [WLAN], Wireless Wide Area Network [WWAN])",Telecommunications,3. Evaluate vulnerability of an information system and establish a plan for risk management
SEC250,922,Skill in using network analysis tools to identify vulnerabilities,Vulnerabilities Assessment,3. Evaluate vulnerability of an information system and establish a plan for risk management
SEC250,1038,"Knowledge of local specialized system requirements (e.g., critical infrastructure systems that may not use standard information technology [IT]) for safety, performance, and reliability)",Infrastructure Design,3. Evaluate vulnerability of an information system and establish a plan for risk management
SEC250,123,Knowledge of system and application security threats and vulnerabilities ,Vulnerabilities Assessment,"3. Evaluate vulnerability of an information system and establish a plan for risk management, 4. Demonstrate how to detect and reduce threats in Web security  "
SEC250,98,Knowledge of policy-based and risk adaptive access controls,Identity Management,"3. Evaluate vulnerability of an information system and establish a plan for risk management, 8  Evaluate a company?s security policies and procedures"
SEC250,352,"Skill in applying white hack hacking/security auditing techniques, procedures and tools",Vulnerabilities Assessment,3.Evaluate vulnerability of an information system and establish a plan for risk management
SEC250,4,Ability to identify systemic security issues based on the analysis of vulnerability and configuration data,Vulnerabilities Assessment,4. Demonstrate how to detect and reduce threats in Web security  
SEC250,900,Knowledge of web filtering technologies,Web Technology,4. Demonstrate how to detect and reduce threats in Web security  
SEC250,8,Knowledge of access authentication methods,Identity Management,5. Evaluate the authentication and encryption needs of an information system 
SEC250,27,Knowledge of cryptology,Cryptography,5. Evaluate the authentication and encryption needs of an information system 
SEC250,63,"Knowledge of Information Assurance principles and tenets (confidentiality, integrity, availability, authentication, non-repudiation).",Information Assurance,5. Evaluate the authentication and encryption needs of an information system 
SEC250,70,"Knowledge of information technology (IT) security principles and methods (e.g., firewalls, demilitarized zones, encryption)",Information Systems/Network Security,5. Evaluate the authentication and encryption needs of an information system 
SEC250,284,"Knowledge of encryption algorithms and tools for WLANs (e.g., SSL, PGP)",Cryptography,5. Evaluate the authentication and encryption needs of an information system 
SEC250,1114,Knowledge of encryption methodologies,Cryptography,5. Evaluate the authentication and encryption needs of an information system 
SEC250,79,"Knowledge of network access, identity, and access management (e.g., public key infrastructure [PKI])",Identity Management,6. Explain the Public Key Infrastructure process 
SEC250,261,"Knowledge of basic concepts, terminology, and operations of a wide range of communications media (computer and telephony networks, satellite, fiber, wireless)",Telecommunications,7.  Demonstrate how to secure a wireless network
SEC250,903,Knowledge of Wireless Fidelity (WI-FI),Network Management,7.  Demonstrate how to secure a wireless network
SEC250,1074,"Knowledge of transmission records (e.g., Bluetooth, Radio Frequency Identification [RFID], Infrared Networking [IR], Wireless Fiedelity [Wi-Fi]. paging, cellular, satellite dishes), and jamming techniques that enable transmission of undesirable information, or prevent installed systems from operating correctly ",Telecommunications,7.  Demonstrate how to secure a wireless network
SEC250,984,"Knowledge of computer network defense (CND) policies, procedures, and regulations",Computer Network Defense,8.  Evaluate a company?s security policies and procedures
SEC250,986,"Knowledge of organizational information technology (IT) user security policies (e..g, account creation, password rules, access control)",Identity Management,8.  Evaluate a company?s security policies and procedures
SEC250,1040,"Knowledge of relevant laws, policies, procedures ,or governance as they relate to work that may impact critical infrastructure",Criminal Law,8.  Evaluate a company?s security policies and procedures
SEC440,87,Knowledge of network traffic analysis methods,Information Systems/Network Security,1. Analyze live network traffic for anomalies associated with security issues
SEC440,123,Knowledge of system and application security threats and vulnerabilities ,Vulnerabilities Assessment,2. Evaluate security threats and propose possible solutions in real-time
SEC440,150,Knowledge of what constitutes a network attack and the relationship to both threats and vulnerabilities,Information Systems/Network Security,2. Evaluate security threats and propose possible solutions in real-time
SEC440,966,"Knowledge of enterprise incident response program, roles, and responsibilities",Incident Management,"3. Develop incident response plan and implement in reaction to security compromises, 6. Assess effectiveness of response to security incidents"
SEC440,63,"Knowledge of Information Assurance principles and tenets (confidentiality, integrity, availability, authentication, non-repudiation).",Information Assurance,"3. Maintain the confidentiality, integrity, and availability of the data and systems "
SEC440,156,"Skill in applying confidentiality, integrity, and availability principles",Information Assurance,"3. Maintain the confidentiality, integrity, and availability of the data and systems "
SEC440,61,Knowledge of incident response and handling methodologies,Incident Management,"4. Develop incident response plan and implement in reaction to security , 6. Assess effectiveness of response to security incidents"
SEC440,153,Skill in handling malware,Computer Network Defense,5. Analyze malware and evaluate impact on network services
SEC440,896,Skill in protecting a network against malware,Computer Network Defense,5. Analyze malware and evaluate impact on network services
SEC440,1029,Knowledge of malware analysis concepts and methodology,Computer Network Defense,5. Analyze malware and evaluate impact on network services
SEC440,60,"Knowledge of incident categories, incident responses, and timelines for responses",Incident Management,6. Assess effectiveness of response to security incidents
SEC440,98,Knowledge of policy-based and risk adaptive access controls,Identity Management,"7. Develop strategies for balancing risk factors, technical constraints, time, and personnel "
SEC440,177,Skill in designing countermeasures to identified security risks,Vulnerabilities Assessment,"7. Develop strategies for balancing risk factors, technical constraints, time, and personnel "
SEC440,965,Knowledge of organization's risk tolerance and/or risk management approach,Risk Management,"7. Develop strategies for balancing risk factors, technical constraints, time, and personnel "
SEC440,1037,"Knowledge of information technology (IT) supply chain security/risk management policies, requirements, and procedures",Risk Management,"7. Develop strategies for balancing risk factors, technical constraints, time, and personnel "
SEC440,55,"Knowledge of Information assurance (IA) principles used to manage risks related to the use, processing, storage, and transmission of information or data",Information Assurance,"7. Develop strategies for balancing risk factors, technical constraints, time, and personnel capabilities"
SEC440,92,"Knowledge of how traffic flows across the network (e.g., Transmission Control Protocol and Internet Protocol [TCP/IP], Open System Interconnection model [OSI], Information Technology Infrastructure Library, v3 [ITIL])",Infrastructure Design,Analyze live network traffic for anomalies associated with security issues
SEC440,93,Knowledge of packet-level analysis,Vulnerabilities Assessment,Analyze live network traffic for anomalies associated with security issues
SEC440,154,Skill in analyzing network traffic capacity and performance characteristics,Capacity Management,Analyze live network traffic for anomalies associated with security issues
SEC440,231,"Skill in using network management tools to analyze network traffic patterns (e.g., simple network management protocol)",Network Management,Analyze live network traffic for anomalies associated with security issues
SEC440,915,"Knowledge of front-end collection systems, including network traffic collection, filtering, and selection.",Information Systems/Network Security,Analyze live network traffic for anomalies associated with security issues
FOR340,217,Skill in preserving evidence integrity according to standard operating procedures or national standards,Computer Forensics,1. Conduct digital forensic exams on common operating systems while documenting the process and justifying decisions/actions  
FOR340,296,"Knowledge of how information needs and collection requirements are translated, tracked, and prioritized across the extended enterprise",External Awareness,1. Conduct digital forensic exams on common operating systems while documenting the process and justifying decisions/actions  
FOR340,340,Knowledge of types and collection of persistent data,Computer Forensics,1. Conduct digital forensic exams on common operating systems while documenting the process and justifying decisions/actions  
FOR340,374,Skill in setting up a forensic workstation,Forensics,1. Conduct digital forensic exams on common operating systems while documenting the process and justifying decisions/actions  
FOR340,379,Skill in using common digital forensics tools and techniques,Computer Forensics,1. Conduct digital forensic exams on common operating systems while documenting the process and justifying decisions/actions  
FOR340,381,"Skill in using forensic tool suites (e.g. EnCase, Sleuthkit, Forensic Tool Kit [FTK])",Computer Forensics,1. Conduct digital forensic exams on common operating systems while documenting the process and justifying decisions/actions  
FOR340,890,"Skill in conducting forensic analyses in multiple operating system environments (e.g., mobile device systems)",Computer Forensics,1. Conduct digital forensic exams on common operating systems while documenting the process and justifying decisions/actions  
FOR340,1093,"Knowledge of common forensic tool configuration and support applications (e.g., VMWare, Wireshark)",Computer Forensics,1. Conduct digital forensic exams on common operating systems while documenting the process and justifying decisions/actions  
FOR340,346,"Knowledge of which system files (e.g. log files, registry files, configuration files) contain relevant information and where to find those system files",Computer Forensics,2. Critically evaluate digital forensic exams methodologies for the most effective analysis practice
FOR340,1044,Skill in identifying forensic footprints,Computer Forensics,2. Critically evaluate digital forensic exams methodologies for the most effective analysis practice
FOR340,1086,"Knowledge of data carving tools and techniques (e.g., Foremost)",Computer Forensics,2. Critically evaluate digital forensic exams methodologies for the most effective analysis practice
FOR340,888,Knowledge of types of digital forensics data and how to recognize them,Computer Forensics,2. Critically evaluate digital forensic exams methodologies for the most effective analysis practice. 
FOR340,361,Skill in gathering and analyzing all-source information in support of indications and warnings,Reasoning,3. Analyze and evaluate results from various forensics techniques and be able to merge findings into a comprehensive description
FOR340,366,Skill in law enforcement report writing,Technical Documentation,4. Articulate complex technical forensic topics and findings in an ?expert? report to audiences with varying levels of technical and digital forensics experience
FOR340,367,Skill in multi-disciplined intelligence report writing,Writing,4. Articulate complex technical forensic topics and findings in an ?expert? report to audiences with varying levels of technical and digital forensics experience
FOR340,376,Skill in talking to others to convey information effectively,Oral Communication,4. Articulate complex technical forensic topics and findings in an ?expert? report to audiences with varying levels of technical and digital forensics experience
FOR340,252,"Knowledge of and experience in Insider Threat investigations, reporting, investigative tools and laws/regulations",Computer Network Defense,5. Design an investigation process that follows best practices for digital forensics 
FOR340,302,"Knowledge of investigative implications of hardware, operating systems, and network technologies",Computer Forensics,5. Design an investigation process that follows best practices for digital forensics 
FOR340,369,"Skill in collecting, processing, packaging, transporting and storing electronic evidence to avoid alteration, loss, physical damage, or destruction of data.",Forensics,1. Conduct digital forensic exams on common operating systems while documenting the process and justifying decisions/actions  (forensics
FOR320,287,"Knowledge of file system Implementations (e.g., New Technology File System [NTFS], File Allocation Table [FAT], File Extentsion [EXT])",Operating Systems,"2. Analyze and parse the FAT filesystem, the NTFS filesystem, and the EXT filesystem , 3. Articulate technical topics including FAT/NTFS/HFS/EXT into quick reference guides that describe how to forensically Process files systems"
FOR320,1087,"Skill in deep analysis of captured malicious code (e.g., malware forensics)",Computer Network Defense,"4. Using incident response and digital forensic tools, perform both a static and dynamic analysis of malware"
FOR320,1029,Knowledge of malware analysis concepts and methodology,Computer Network Defense,"4. Using incident response and digital forensic tools, perform both a static and dynamic analysis of malware "
FOR320,1096,"Knowledge of malware analysis tools (e.g., Oily Debug, Ida Pro)",Computer Network Defense,"4. Using incident response and digital forensic tools, perform both a static and dynamic analysis of malware "
